!!!!!
mstateen0	0x30c none CSR_CLASS_SMSTATEEN
mstateen1	0x30d none CSR_CLASS_SMSTATEEN
mstateen2	0x30e none CSR_CLASS_SMSTATEEN
mstateen3	0x30f none CSR_CLASS_SMSTATEEN
sstateen0	0x10c none CSR_CLASS_SMSTATEEN
sstateen1	0x10d none CSR_CLASS_SMSTATEEN
sstateen2	0x10e none CSR_CLASS_SMSTATEEN
sstateen3	0x10f none CSR_CLASS_SMSTATEEN
hstateen0	0x60c none CSR_CLASS_SMSTATEEN_AND_H
hstateen1	0x60d none CSR_CLASS_SMSTATEEN_AND_H
hstateen2	0x60e none CSR_CLASS_SMSTATEEN_AND_H
hstateen3	0x60f none CSR_CLASS_SMSTATEEN_AND_H
mstateen0h	0x31c none CSR_CLASS_SMSTATEEN_32
mstateen1h	0x31d none CSR_CLASS_SMSTATEEN_32
mstateen2h	0x31e none CSR_CLASS_SMSTATEEN_32
mstateen3h	0x31f none CSR_CLASS_SMSTATEEN_32
hstateen0h	0x61c none CSR_CLASS_SMSTATEEN_AND_H_32
hstateen1h	0x61d none CSR_CLASS_SMSTATEEN_AND_H_32
hstateen2h	0x61e none CSR_CLASS_SMSTATEEN_AND_H_32
hstateen3h	0x61f none CSR_CLASS_SMSTATEEN_AND_H_32
