siselect   0x150 none CSR_CLASS_SSAIA_OR_SSCSRIND
sireg      0x151 none CSR_CLASS_SSAIA_OR_SSCSRIND
vsiselect  0x250 none CSR_CLASS_SSAIA_OR_SSCSRIND_AND_H
vsireg     0x251 none CSR_CLASS_SSAIA_OR_SSCSRIND_AND_H
sireg2     0x152 none CSR_CLASS_SSCSRIND
sireg3     0x153 none CSR_CLASS_SSCSRIND
sireg4     0x155 none CSR_CLASS_SSCSRIND
sireg5     0x156 none CSR_CLASS_SSCSRIND
sireg6     0x157 none CSR_CLASS_SSCSRIND
vsireg2    0x252 none CSR_CLASS_SSCSRIND_AND_H
vsireg3    0x253 none CSR_CLASS_SSCSRIND_AND_H
vsireg4    0x255 none CSR_CLASS_SSCSRIND_AND_H
vsireg5    0x256 none CSR_CLASS_SSCSRIND_AND_H
vsireg6    0x257 none CSR_CLASS_SSCSRIND_AND_H
